// user:DESKTOP-0HM15HR_628165; date:2020-10-14 12:06:00.623; sample:8192; 
time[ms]; amplitude[g]; 
24.658; -0.33226; 
24.719; -0.3443; 
24.78; -0.29616; 
24.841; -0.1993; 
24.902; -0.18261; 
24.963; -0.23324; 
25.024; -0.23276; 
25.085; -0.19264; 
25.146; -0.17353; 
25.208; -0.19984; 
25.269; -0.20828; 
25.33; -0.16124; 
25.391; -0.12298; 
25.452; -0.10846; 
25.513; -0.11621; 
25.574; -0.12152; 
25.635; -0.1234; 
25.696; -0.19563; 
25.757; -0.24892; 
25.818; -0.22036; 
25.879; -0.18521; 
25.94; -0.16883; 
26.001; -0.26418; 
26.062; -0.40022; 
26.123; -0.43121; 
26.184; -0.43519; 
26.245; -0.3892; 
26.306; -0.3265; 
26.367; -0.26534; 
26.428; -0.05651; 
26.489; 0.12294; 
26.55; 0.13124; 
26.611; 0.03752; 
26.672; -0.12214; 
26.733; -0.20148; 
26.794; -0.26105; 
26.855; -0.3487; 
26.917; -0.37486; 
26.978; -0.39015; 
27.039; -0.24537; 
27.1; -0.03265; 
27.161; -0.00524; 
27.222; 0.00987; 
27.283; -0.01199; 
27.344; -0.10752; 
27.405; -0.14584; 
27.466; -0.22071; 
27.527; -0.24125; 
27.588; -0.13352; 
27.649; -0.01731; 
27.71; 0.11997; 
27.771; 0.22125; 
27.832; 0.25084; 
27.893; 0.27705; 
27.954; 0.25654; 
28.015; 0.16385; 
28.076; 0.06046; 
28.137; 0.00258; 
28.198; 0.04539; 
28.259; 0.13743; 
28.32; 0.15498; 
28.381; 0.1657; 
28.442; 0.22389; 
28.503; 0.22186; 
28.564; 0.14029; 
28.625; 0.01103; 
28.687; -0.03535; 
28.748; 0.08364; 
28.809; 0.18115; 
28.87; 0.19056; 
28.931; 0.15909; 
28.992; 0.07187; 
29.053; -0.02471; 
29.114; -0.11259; 
29.175; -0.12741; 
29.236; -0.03148; 
29.297; 0.05795; 
29.358; 0.1171; 
29.419; 0.14773; 
29.48; 0.10898; 
29.541; 0.05568; 
29.602; 0.01603; 
29.663; -0.03578; 
29.724; -0.08597; 
29.785; -0.11827; 
29.846; -0.16145; 
29.907; -0.20203; 
29.968; -0.16196; 
30.029; -0.06969; 
30.09; -0.00437; 
30.151; 0.0192; 
30.212; 0.0069; 
30.273; -0.03153; 
30.334; -0.11182; 
30.396; -0.17387; 
30.457; -0.16719; 
30.518; -0.16199; 
30.579; -0.15802; 
30.64; -0.15307; 
30.701; -0.10967; 
30.762; 0.01981; 
30.823; 0.09109; 
30.884; 0.06348; 
30.945; -0.00084; 
31.006; -0.06822; 
31.067; -0.10108; 
31.128; -0.18179; 
31.189; -0.26584; 
31.25; -0.28254; 
31.311; -0.29396; 
31.372; -0.26666; 
31.433; -0.21514; 
31.494; -0.14716; 
31.555; -0.09597; 
31.616; -0.11875; 
31.677; -0.10411; 
31.738; -0.09442; 
31.799; -0.11338; 
31.86; -0.10749; 
31.921; -0.16543; 
31.982; -0.17621; 
32.043; -0.15088; 
32.104; -0.22591; 
32.166; -0.27161; 
32.227; -0.29246; 
32.288; -0.30978; 
32.349; -0.29541; 
32.41; -0.33089; 
32.471; -0.31819; 
32.532; -0.24859; 
32.593; -0.25056; 
32.654; -0.30597; 
