machine,point,time,num_peaks,a_range,b_range,c_range,d_range,e_range,f_range,g_range,h_range,i_range,j_range
S1-M39,M-LOA-V,2020-04-28 10:32:02.344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-M39,M-LOA-V,2020-07-09 08:52:38.904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-M39,M-LOA-V,2021-04-06 16:37:26.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4-73-M1,V-LOA-V,2019-10-15 17:00:56.184,1.0,0.08048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4-73-M1,V-LOA-V,2019-06-18 15:56:34.515,22.0,0.15411,0.14557,0.32341,0.5785,0.34538,0.25073999999999996,0.9420200000000001,0.32021,0.31249,0.0
S4-73-M1,V-LOA-V,2020-10-13 16:02:34.852,4.0,0.40558000000000005,0.0,0.0,0.0,0.0,0.08095,0.0,0.0,0.0,0.0
S4-73-M1,V-LOA-V,2021-04-07 10:01:37.644,4.0,0.09003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09666,0.16967
S3-M09,V-LOA-A,2020-10-14 08:19:00.939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3-M09,V-LOA-A,2020-02-11 12:19:13.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3-M09,V-LOA-A,2020-04-28 16:38:23.068,2.0,0.0,0.0,0.0,0.19269,0.0,0.0,0.0,0.0,0.0,0.0
S3-M09,V-LOA-A,2020-07-09 10:41:51.864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3-M09,V-LOA-A,2021-04-06 10:53:20.703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4-73-M2,M-LA-A,2019-10-15 17:02:20.925,1.0,0.11571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
