,machine,point,time,max_mms,rms_mms,max_acc,med_acc,rms_acc,kur_acc,cf_acc,num_peaks,a_range,b_range,c_range,d_range,e_range,f_range,g_range,h_range,i_range,j_range,max_dem,rms_dem,Nombre,diagnostico,Id_Estado_Activo,Id_Estado_Activo_fixed
42,S2-M30,M-LA-H,2019-06-18 12:50:21.416,9.8727,4.426483119796686,0.8688,0.379426903079201,0.1776196732532205,0.0695937694692276,4.89135006324108,1.0,0.11101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72877,0.2151287213420801,S2-Ventilador M30," Motor: Activo en buen estado.
 Ventilador: Se mantiene los niveles de vibración por encima de la normalidad.",1.0,1.0
43,S2-M30,M-LA-V,2019-06-18 12:50:33.642,7.5043,3.3317870425338354,0.77573,0.4061774860162542,0.2014313318471564,0.3957400593973426,3.851089067854719,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14226,0.0,0.0,0.82275,0.3005024483698267,S2-Ventilador M30," Motor: Activo en buen estado.
 Ventilador: Se mantiene los niveles de vibración por encima de la normalidad.",1.0,1.0
44,S2-M30,M-LA-A,2019-06-18 12:50:44.725,24.297,13.669428360425506,0.99283,0.5847548444856306,0.3896517400622494,1.213736168492193,2.5479932409422545,1.0,0.35589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39127,0.1561717720306591,S2-Ventilador M30," Motor: Activo en buen estado.
 Ventilador: Se mantiene los niveles de vibración por encima de la normalidad.",1.0,2.0
45,S2-M30,V-LA-H,2019-06-18 12:50:57.844,13.037,6.809374630333215,3.4819,0.7738656808781583,0.762647787018147,0.3531845740382353,4.565541340667588,7.0,0.17799,0.0,0.09321,0.2211999999999999,0.0,0.0,0.0,0.09028,0.0873,0.08158,4.2918,1.552608157851452,S2-Ventilador M30," Motor: Activo en buen estado.
 Ventilador: Se mantiene los niveles de vibración por encima de la normalidad.",1.0,2.0
46,S2-M30,V-LA-V,2019-06-18 12:51:09.395,13.849,7.847154663819601,4.1546,0.7680224107810358,0.7496860741917772,0.4173236621037608,5.541786279649116,5.0,0.20906,0.0,0.0,0.13409,0.0,0.0,0.0,0.0,0.2067,0.08102,4.4336,1.4778012911964002,S2-Ventilador M30," Motor: Activo en buen estado.
 Ventilador: Se mantiene los niveles de vibración por encima de la normalidad.",1.0,2.0
47,S2-M30,V-LOA-H,2019-06-18 12:51:21.926,15.283,9.119392993911118,2.2264,0.6745419873515623,0.5706126037525896,0.015724211171431,3.901771509003224,7.0,0.24028,0.0,0.0,0.10126,0.0967,0.39044,0.0,0.0,0.0,0.0,2.2099,0.9428393683513072,S2-Ventilador M30," Motor: Activo en buen estado.
 Ventilador: Se mantiene los niveles de vibración por encima de la normalidad.",1.0,2.0
48,S2-M30,V-LOA-V,2019-06-18 12:51:32.834,6.7952,3.361698092135136,2.8892,0.6820769945462593,0.5871286068198429,0.2023454933011712,4.920898022069183,6.0,0.08957,0.0,0.13874,0.0,0.0,0.08989,0.17891,0.0,0.11168,0.0,2.7559,1.15011077722227,S2-Ventilador M30," Motor: Activo en buen estado.
 Ventilador: Se mantiene los niveles de vibración por encima de la normalidad.",1.0,1.0
49,S2-M30,V-LOA-A,2019-06-18 12:51:44.345,20.624,12.819777577100725,2.5761,0.6726208727812247,0.5658443556180519,0.0448597344357803,4.552665365348067,2.0,0.3405,0.0,0.0,0.0,0.0,0.0,0.1335,0.0,0.0,0.0,2.196,0.8728929956101037,S2-Ventilador M30," Motor: Activo en buen estado.
 Ventilador: Se mantiene los niveles de vibración por encima de la normalidad.",1.0,2.0
50,S2-M35,M-LOA-H,2019-06-18 12:52:04.396,5.8671,2.400374929972072,0.41665,0.3060538414354929,0.1158329966556213,0.2414899699558352,3.596988872166764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34448,0.1380229320561329,S2-Ventilador M35, Ventilador: Las amplitudes de los indicadores de degradación mecánica de rodamientos siguen en ascenso. En la próxima inspección se confirmará la necesidad de intervenir en el activo.,2.0,2.0
51,S2-M35,M-LOA-V,2019-06-18 12:52:13.916,5.81,2.160043818375497,0.41146,0.30412842336814,0.1159961303712162,0.045618280744891,3.5471872956729382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3423,0.1357571417693049,S2-Ventilador M35, Ventilador: Las amplitudes de los indicadores de degradación mecánica de rodamientos siguen en ascenso. En la próxima inspección se confirmará la necesidad de intervenir en el activo.,2.0,2.0
52,S2-M35,M-LA-H,2019-06-18 12:52:25.063,5.4508,1.9672960284282537,0.57123,0.3111115964007755,0.1214402817345418,0.0530528630168007,4.703793435267718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.527,0.1991654358825786,S2-Ventilador M35, Ventilador: Las amplitudes de los indicadores de degradación mecánica de rodamientos siguen en ascenso. En la próxima inspección se confirmará la necesidad de intervenir en el activo.,2.0,2.0
53,S2-M35,M-LA-V,2019-06-18 12:52:36.672,7.1545,2.627100063273246,0.40926,0.2896580573040094,0.1037012059565934,0.2249447577589509,3.9465307681311375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29286,0.1416037365023307,S2-Ventilador M35, Ventilador: Las amplitudes de los indicadores de degradación mecánica de rodamientos siguen en ascenso. En la próxima inspección se confirmará la necesidad de intervenir en el activo.,2.0,2.0
54,S2-M35,M-LA-A,2019-06-18 12:52:47.756,6.9303,3.03209982943505,0.4313,0.3319491277118707,0.1356159947175929,0.437752139183968,3.180303332937536,1.0,0.09138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25209,0.098037299226107,S2-Ventilador M35, Ventilador: Las amplitudes de los indicadores de degradación mecánica de rodamientos siguen en ascenso. En la próxima inspección se confirmará la necesidad de intervenir en el activo.,2.0,2.0
55,S2-M35,V-LA-H,2019-06-18 12:53:01.545,7.7893,3.247422712200883,7.9031,1.2478190984439237,1.945620598898703,0.0395549622982289,4.061994411692322,32.0,0.0,0.09129,0.09382,0.08695,0.0,0.2728399999999999,0.52782,0.87542,1.20503,0.8648399999999999,9.5057,4.239468565829733,S2-Ventilador M35, Ventilador: Las amplitudes de los indicadores de degradación mecánica de rodamientos siguen en ascenso. En la próxima inspección se confirmará la necesidad de intervenir en el activo.,2.0,2.0
56,S2-M35,V-LA-V,2019-06-18 12:53:15.003,10.968,5.097775451144425,7.6778,1.15284095655826,1.67204600800393,0.122662001831463,4.591859292894501,26.0,0.13297,0.0,0.0,0.24901,0.0,0.1226,0.32339,0.6699600000000001,0.73934,0.6816899999999999,9.7236,3.7583052951204095,S2-Ventilador M35, Ventilador: Las amplitudes de los indicadores de degradación mecánica de rodamientos siguen en ascenso. En la próxima inspección se confirmará la necesidad de intervenir en el activo.,2.0,2.0
57,S2-M35,V-LOA-H,2019-06-18 12:53:29.245,3.1597,1.1060728983290689,6.8365,1.146433164582433,1.6677688327600255,0.2636568158737784,4.099189207587081,27.0,0.0,0.08476,0.0835,0.1953599999999999,0.0,0.19775,0.4474599999999999,0.44777,1.09309,0.78806,8.4028,3.367393528286281,S2-Ventilador M35, Ventilador: Las amplitudes de los indicadores de degradación mecánica de rodamientos siguen en ascenso. En la próxima inspección se confirmará la necesidad de intervenir en el activo.,2.0,2.0
58,S2-M35,V-LOA-V,2019-06-18 12:53:38.666,5.012,1.6100625057665443,8.866,1.2689950713895377,2.031545021777005,0.1739588778038423,4.364166142005976,31.0,0.0,0.0844,0.13946,0.09207,0.0,0.32322,0.2374899999999999,0.8218300000000001,1.5876500000000002,1.18949,9.3914,4.0225419946911245,S2-Ventilador M35, Ventilador: Las amplitudes de los indicadores de degradación mecánica de rodamientos siguen en ascenso. En la próxima inspección se confirmará la necesidad de intervenir en el activo.,2.0,2.0
59,S2-M35,V-LOA-A,2019-06-18 12:53:52.468,6.5518,3.362223928032225,1.8284,0.6059709958226717,0.4617939375440868,0.0365701268014637,3.959341713587232,1.0,0.08802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2826,0.9211652526317118,S2-Ventilador M35, Ventilador: Las amplitudes de los indicadores de degradación mecánica de rodamientos siguen en ascenso. En la próxima inspección se confirmará la necesidad de intervenir en el activo.,2.0,2.0
60,S2-M42,M-LOA-H,2019-06-18 12:54:27.975,3.8217,1.1653503711140334,0.52012,0.3059676253202953,0.1177659319034577,0.1090197830742791,4.416557416846024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49569,0.219377719274617,S2-Ventilador M42," Motor: Activo en buen estado.
 Ventilador: Se detectan síntomas de una posible degradación de rodamientos.",2.0,2.0
61,S2-M42,M-LOA-V,2019-06-18 12:54:38.185,3.4175,1.3554215073597868,0.5484,0.319883405425174,0.1288530386764692,0.1231441297522413,4.256011388112862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5428,0.2205940260748899,S2-Ventilador M42," Motor: Activo en buen estado.
 Ventilador: Se detectan síntomas de una posible degradación de rodamientos.",2.0,2.0
