// user:DESKTOP-0HM15HR_628165; date:2020-10-14 11:45:19.203; sample:3201; 
frequency[Hz]; amplitude[g RMS]; phase[°]; 
998; 0.00345; 0.0; 
1000; 0.00176; 0.0; 
1002; 0.00464; 0.0; 
1004; 0.00858; 0.0; 
1006; 0.01207; 0.0; 
1008; 0.01496; 0.0; 
1010; 0.00888; 0.0; 
1012; 0.00497; 0.0; 
1014; 0.00565; 0.0; 
1016; 0.00264; 0.0; 
1018; 0.00416; 0.0; 
1020; 0.00231; 0.0; 
1022; 0.00403; 0.0; 
1024; 0.00356; 0.0; 
1026; 0.00252; 0.0; 
1028; 0.00259; 0.0; 
1030; 0.00356; 0.0; 
1032; 0.00487; 0.0; 
1034; 0.00595; 0.0; 
1036; 0.0041; 0.0; 
1038; 0.00336; 0.0; 
1040; 0.00351; 0.0; 
1042; 0.00154; 0.0; 
1044; 0.00457; 0.0; 
1046; 0.00538; 0.0; 
1048; 0.00167; 0.0; 
1050; 0.00793; 0.0; 
1052; 0.00584; 0.0; 
1054; 0.00407; 0.0; 
1056; 0.00456; 0.0; 
1058; 0.0029; 0.0; 
1060; 0.0019; 0.0; 
1062; 0.00224; 0.0; 
1064; 0.00278; 0.0; 
1066; 0.00194; 0.0; 
1068; 0.00403; 0.0; 
1070; 0.00418; 0.0; 
1072; 0.00435; 0.0; 
1074; 0.00275; 0.0; 
1076; 0.00569; 0.0; 
1078; 0.00704; 0.0; 
1080; 0.005; 0.0; 
1082; 0.00544; 0.0; 
1084; 0.00274; 0.0; 
1086; 0.00289; 0.0; 
1088; 0.00258; 0.0; 
1090; 0.00402; 0.0; 
1092; 0.00829; 0.0; 
1094; 0.00512; 0.0; 
1096; 0.00356; 0.0; 
1098; 0.00277; 0.0; 
1100; 0.00283; 0.0; 
1102; 0.00289; 0.0; 
1104; 0.00389; 0.0; 
1106; 0.00467; 0.0; 
1108; 0.00217; 0.0; 
1110; 0.00355; 0.0; 
1112; 0.00316; 0.0; 
1114; 0.00217; 0.0; 
1116; 0.00171; 0.0; 
1118; 0.00333; 0.0; 
1120; 0.00329; 0.0; 
1122; 0.00329; 0.0; 
1124; 0.00441; 0.0; 
1126; 0.00503; 0.0; 
1128; 0.00306; 0.0; 
1130; 0.00207; 0.0; 
1132; 0.00329; 0.0; 
1134; 0.00297; 0.0; 
1136; 0.00213; 0.0; 
1138; 0.00208; 0.0; 
1140; 0.00046; 0.0; 
1142; 0.0023; 0.0; 
1144; 0.00529; 0.0; 
1146; 0.00291; 0.0; 
1148; 0.00383; 0.0; 
1150; 0.00348; 0.0; 
1152; 0.00345; 0.0; 
1154; 0.00433; 0.0; 
1156; 0.00405; 0.0; 
1158; 0.00461; 0.0; 
1160; 0.00654; 0.0; 
1162; 0.0041; 0.0; 
1164; 0.00181; 0.0; 
1166; 0.00128; 0.0; 
1168; 0.00151; 0.0; 
1170; 0.00108; 0.0; 
1172; 0.00171; 0.0; 
1174; 0.00393; 0.0; 
1176; 0.00296; 0.0; 
1178; 0.00353; 0.0; 
1180; 0.00519; 0.0; 
1182; 0.00595; 0.0; 
1184; 0.00421; 0.0; 
1186; 0.00628; 0.0; 
1188; 0.00662; 0.0; 
1190; 0.00738; 0.0; 
1192; 0.00731; 0.0; 
1194; 0.00773; 0.0; 
1196; 0.00572; 0.0; 
1198; 0.00481; 0.0; 
1200; 0.00633; 0.0; 
1202; 0.00678; 0.0; 
1204; 0.00255; 0.0; 
1206; 0.00729; 0.0; 
1208; 0.01062; 0.0; 
1210; 0.006; 0.0; 
1212; 0.0046; 0.0; 
1214; 0.00434; 0.0; 
1216; 0.00382; 0.0; 
