// user:DESKTOP-0HM15HR_628165; date:2020-02-11 10:02:56.433; sample:8192; 
time[ms]; amplitude[g]; 
24.902; 0.07873; 
24.963; 0.06861; 
25.024; 0.04037; 
25.085; 0.01572; 
25.146; 0.02415; 
25.208; 0.04101; 
25.269; 0.03886; 
25.33; 0.03709; 
25.391; 0.03761; 
25.452; 0.03301; 
25.513; 0.03647; 
25.574; 0.00413; 
25.635; -0.09221; 
25.696; -0.20208; 
25.757; -0.28368; 
25.818; -0.34623; 
25.879; -0.41575; 
25.94; -0.44611; 
26.001; -0.41453; 
26.062; -0.37791; 
26.123; -0.31415; 
26.184; -0.2355; 
26.245; -0.20476; 
26.306; -0.17378; 
26.367; -0.13311; 
26.428; -0.1163; 
26.489; -0.11139; 
26.55; -0.10312; 
26.611; -0.0424; 
26.672; 0.05347; 
26.733; 0.12997; 
26.794; 0.20608; 
26.855; 0.26485; 
26.917; 0.30117; 
26.978; 0.33884; 
27.039; 0.34719; 
27.1; 0.3251; 
27.161; 0.31032; 
27.222; 0.32612; 
27.283; 0.358; 
27.344; 0.4097; 
27.405; 0.51272; 
27.466; 0.61513; 
27.527; 0.69978; 
27.588; 0.78253; 
27.649; 0.79539; 
27.71; 0.75086; 
27.771; 0.69807; 
27.832; 0.61634; 
27.893; 0.49203; 
27.954; 0.35816; 
28.015; 0.27657; 
28.076; 0.20154; 
28.137; 0.11913; 
28.198; 0.12956; 
28.259; 0.1768; 
28.32; 0.18444; 
28.381; 0.17488; 
28.442; 0.13822; 
28.503; 0.07758; 
28.564; 0.00294; 
28.625; -0.05035; 
28.687; -0.08236; 
28.748; -0.12655; 
28.809; -0.11227; 
28.87; -0.03924; 
28.931; 0.02414; 
28.992; 0.07087; 
29.053; 0.08754; 
29.114; 0.08727; 
29.175; 0.05322; 
29.236; -0.01906; 
29.297; -0.06471; 
29.358; -0.08621; 
29.419; -0.0764; 
29.48; -0.01665; 
29.541; 0.06354; 
29.602; 0.15697; 
29.663; 0.25613; 
29.724; 0.36395; 
29.785; 0.45123; 
29.846; 0.48117; 
29.907; 0.48771; 
29.968; 0.48539; 
30.029; 0.4877; 
30.09; 0.48576; 
30.151; 0.45965; 
30.212; 0.46138; 
30.273; 0.45858; 
30.334; 0.42913; 
30.396; 0.46053; 
30.457; 0.49692; 
30.518; 0.46436; 
30.579; 0.44407; 
30.64; 0.43213; 
30.701; 0.33548; 
30.762; 0.1937; 
30.823; 0.12467; 
30.884; 0.13188; 
30.945; 0.13546; 
31.006; 0.15673; 
31.067; 0.25095; 
31.128; 0.35013; 
31.189; 0.40598; 
31.25; 0.44446; 
31.311; 0.42757; 
31.372; 0.31503; 
31.433; 0.14685; 
31.494; -0.02817; 
31.555; -0.17406; 
31.616; -0.22603; 
31.677; -0.18055; 
31.738; -0.11815; 
31.799; -0.03778; 
31.86; 0.06808; 
31.921; 0.11997; 
31.982; 0.09942; 
32.043; 0.04886; 
32.104; -0.01927; 
32.166; -0.12977; 
32.227; -0.25948; 
32.288; -0.32883; 
32.349; -0.33306; 
32.41; -0.27972; 
32.471; -0.15459; 
32.532; 0.00182; 
32.593; 0.16891; 
32.654; 0.32704; 
32.715; 0.41217; 
32.776; 0.40756; 
32.837; 0.35412; 
32.898; 0.26575; 
32.959; 0.15391; 
33.02; 0.08979; 
33.081; 0.0901; 
33.142; 0.10725; 
33.203; 0.14208; 
33.264; 0.21543; 
33.325; 0.34203; 
33.386; 0.467; 
33.447; 0.52538; 
33.508; 0.56716; 
33.569; 0.59787; 
33.63; 0.56876; 
33.691; 0.47219; 
33.752; 0.33481; 
33.813; 0.27177; 
33.875; 0.31066; 
33.936; 0.32706; 
33.997; 0.27953; 
34.058; 0.23539; 
34.119; 0.2241; 
34.18; 0.18377; 
34.241; 0.12356; 
34.302; 0.10585; 
34.363; 0.08903; 
34.424; 0.07184; 
34.485; 0.07072; 
34.546; 0.06068; 
34.607; 0.06547; 
34.668; 0.07857; 
34.729; 0.10604; 
34.79; 0.14905; 
34.851; 0.18198; 
34.912; 0.24268; 
34.973; 0.27405; 
35.034; 0.22729; 
35.095; 0.16934; 
35.156; 0.0699; 
35.217; -0.06138; 
35.278; -0.12719; 
35.339; -0.11669; 
35.4; -0.07239; 
35.461; -0.0419; 
35.522; 0.00324; 
35.583; 0.07536; 
35.645; 0.0892; 
35.706; 0.06268; 
35.767; 0.04805; 
35.828; 0.00148; 
35.889; -0.07438; 
35.95; -0.10073; 
36.011; -0.0512; 
36.072; 0.034; 
36.133; 0.16354; 
36.194; 0.3533; 
36.255; 0.54813; 
36.316; 0.70115; 
36.377; 0.77787; 
36.438; 0.73264; 
36.499; 0.57832; 
36.56; 0.39401; 
36.621; 0.22818; 
36.682; 0.10072; 
36.743; 0.04801; 
36.804; 0.04891; 
36.865; 0.07693; 
36.926; 0.15396; 
36.987; 0.25114; 
37.048; 0.32299; 
37.109; 0.36848; 
37.17; 0.39883; 
37.231; 0.38347; 
37.292; 0.27967; 
37.354; 0.1621; 
37.415; 0.10526; 
37.476; 0.07306; 
37.537; 0.08852; 
37.598; 0.17313; 
37.659; 0.26167; 
37.72; 0.34987; 
37.781; 0.42335; 
37.842; 0.38537; 
37.903; 0.23579; 
37.964; 0.09454; 
38.025; -0.00658; 
38.086; -0.12554; 
38.147; -0.21211; 
38.208; -0.22094; 
38.269; -0.21323; 
38.33; -0.1672; 
38.391; -0.04065; 
38.452; 0.11974; 
38.513; 0.28165; 
38.574; 0.43334; 
38.635; 0.52465; 
38.696; 0.46834; 
38.757; 0.26486; 
38.818; 0.02274; 
38.879; -0.18784; 
38.94; -0.31638; 
39.001; -0.33959; 
39.063; -0.29675; 
39.124; -0.19174; 
39.185; -0.03074; 
39.246; 0.13727; 
39.307; 0.26592; 
39.368; 0.30827; 
39.429; 0.24175; 
39.49; 0.08545; 
39.551; -0.1085; 
39.612; -0.2898; 
39.673; -0.39822; 
39.734; -0.38308; 
39.795; -0.29191; 
39.856; -0.16575; 
39.917; -0.04733; 
39.978; 0.00029; 
40.039; 0.02505; 
