machine,point,time,max_mms,rms_mms
S3-M39,V-LA-V,2020-04-28 17:24:08.613,17.814,6.22486297737498
S3-M39,V-LA-V,2020-10-14 08:55:26.195,16.314,5.915517666320924
S3-M39,V-LA-V,2020-02-11 12:57:23.175,17.009,6.335742380845629
S3-M39,V-LA-V,2019-07-16 12:10:11.365,15.809,5.330422516348014
S3-M39,V-LA-V,2021-04-06 11:34:03.213,18.841,6.993231814691473
S1-M11,V-LOA-V,2020-04-28 09:45:12.405,4.7088,1.6046245663403036
S1-M11,V-LOA-V,2020-07-09 08:18:02.294,5.7357,2.1030949625256947
S1-M11,V-LOA-V,2021-04-06 15:59:34.811,3.4729,1.0124755239062104
S1-M11,V-LOA-V,2020-02-11 08:49:33.864,5.5277,2.3525232541346095
S1-M11,V-LOA-V,2019-07-16 09:56:59.246,4.9649,2.0612567308244065
S1-M11,V-LOA-V,2020-10-14 11:19:29.754,4.3084,1.4994492588577848
S4-61-M1,M-LA-A,2021-04-07 10:33:15.474,13.769,5.7224733334448725
S4-61-M1,M-LA-A,2019-10-15 17:35:55.739,12.683,4.4736151338825305
S4-61-M1,M-LA-A,2020-10-13 16:35:56.732,14.291,5.986436774981194
S2-M11,M-LOA-H,2021-04-06 12:10:27.994,6.2928,2.624460136044189
S2-M11,M-LOA-H,2020-04-28 15:32:56.060,3.4798,1.2832473338863748
S2-M11,M-LOA-H,2020-02-11 10:18:49.905,3.5435,1.141126610157938
S2-M11,M-LOA-H,2019-07-16 09:59:08.986,5.0511,1.6048150027051542
S2-M11,M-LOA-H,2020-10-14 16:48:04.955,7.1073,3.20220906965344
S5-70-M1,V-LOA-H,2019-10-15 16:46:02.820,3.0438,1.330075978156454
S5-70-M1,V-LOA-H,2020-10-15 09:52:00.324,2.765,0.9956466949737901
S5-70-M1,V-LOA-H,2021-04-07 11:31:11.273,2.8206,1.2374864171511515
S4-61-M1,M-LA-V,2020-10-13 16:35:46.412,9.1075,3.6357441150834804
S4-61-M1,M-LA-V,2019-10-15 17:35:44.065,10.464,4.11770630494011
S4-61-M1,M-LA-V,2021-04-07 10:33:07.039,7.2349,3.009460460001336
S5-66-M2,M-LA-V,2020-10-15 09:38:47.544,3.6111,1.3569487758648782
S5-66-M2,M-LA-V,2019-10-15 16:31:24.571,2.893,0.9007062445697587
S5-66-M2,M-LA-V,2021-04-07 11:17:54.174,4.3885,2.121546738867268
S4-71-M2,M-LOA-H,2019-12-03 16:53:01.315,10.842,3.9467130240789827
S4-71-M2,M-LOA-H,2020-10-13 15:56:04.041,5.1411,1.8274144926918054
S4-71-M2,M-LOA-H,2019-10-15 16:52:36.104,6.3386,2.144001445506619
S4-71-M2,M-LOA-H,2020-02-11 13:18:27.838,4.0462,1.334508272608811
S4-71-M2,M-LOA-H,2021-04-07 09:54:43.954,6.0442,2.1104615713377797
S3-M39,M-LOA-H,2020-04-28 17:22:14.534,10.196,4.101761787437616
S3-M39,M-LOA-H,2020-02-11 12:56:17.615,10.596,4.8405522188614984
S3-M39,M-LOA-H,2020-10-14 08:54:20.005,11.594,4.968114632831901
S3-M39,M-LOA-H,2021-04-06 11:32:58.683,11.52,5.30169829043272
S3-M39,M-LOA-H,2019-07-16 12:09:06.205,10.79,4.250522354381063
S3-M39,M-LOA-H,2020-07-09 11:14:57.714,11.239,4.899640397343281
S1-M11,V-LOA-A,2021-04-06 15:59:45.901,3.8746,1.2511195614500707
S1-M11,V-LOA-A,2019-07-16 09:57:13.666,4.8394,2.2859582805030616
S1-M11,V-LOA-A,2020-10-14 11:19:39.353,3.9978,1.4610021312355952
S1-M11,V-LOA-A,2020-07-09 08:18:11.643,5.615,2.5631168135615026
S1-M11,V-LOA-A,2020-04-28 09:45:23.374,4.2801,1.8208777751389964
S1-M11,V-LOA-A,2020-02-11 08:49:46.533,4.6698,2.225754878221177
S2-M11,V-LA-H,2020-02-11 10:19:42.953,5.7186,2.2216487462787176
S2-M11,V-LA-H,2020-10-14 16:48:58.135,7.0295,3.2997685388846465
S2-M11,V-LA-H,2019-07-16 10:00:11.735,5.0505,1.8104848379975376
S2-M11,V-LA-H,2021-04-06 12:11:17.923,8.6765,3.2941895688958893
S2-M11,V-LA-H,2020-04-28 15:33:42.905,6.0675,2.2884683786499993
S5-66-M2,V-LOA-H,2020-10-15 09:39:29.404,1.7763,0.6253121244322999
S5-66-M2,V-LOA-H,2019-10-15 16:32:34.941,1.5609,0.3947461703853026
S5-66-M2,V-LOA-H,2021-04-07 11:18:34.004,1.5452,0.5494455984671519
S5-66-M2,M-LOA-V,2020-10-15 09:38:30.524,2.6756,0.9998302318476148
S5-66-M2,M-LOA-V,2021-04-07 11:17:35.064,3.897,1.4842538307219204
S5-66-M2,M-LOA-V,2019-10-15 16:31:03.621,3.7532,1.0517780746439727
S4-71-M2,M-LOA-V,2019-12-03 16:53:10.904,9.2493,3.482438151115799
S4-71-M2,M-LOA-V,2019-10-15 16:52:45.705,9.4051,2.8344905424277878
S4-71-M2,M-LOA-V,2021-04-07 09:54:53.475,5.8716,1.7456416726284187
S4-71-M2,M-LOA-V,2020-02-11 13:18:37.344,3.7225,1.1946340753268063
S4-71-M2,M-LOA-V,2020-10-13 15:56:14.481,5.8475,2.18750757104663
S2-M11,V-LA-V,2020-10-14 16:49:06.904,11.215,5.3460132434720835
S2-M11,V-LA-V,2020-02-11 10:19:53.144,9.6872,5.004325999681328
S2-M11,V-LA-V,2020-04-28 15:33:56.224,7.279,2.31723399396696
S2-M11,V-LA-V,2019-07-16 10:00:23.415,7.2598,3.0145465241488902
S2-M11,V-LA-V,2021-04-06 12:11:28.063,9.1915,4.46229577598022
S1-M11,V-LA-H,2019-07-16 09:56:16.285,3.9108,1.4020580397707911
S1-M11,V-LA-H,2020-07-09 08:17:28.454,3.3278,1.16300430901379
S1-M11,V-LA-H,2020-02-11 08:48:57.443,3.0227,1.1359504487590615
S1-M11,V-LA-H,2021-04-06 15:59:02.051,4.0296,1.4237103218284552
S1-M11,V-LA-H,2020-10-14 11:18:54.553,4.2128,1.3411054304311187
S1-M11,V-LA-H,2020-04-28 09:44:37.354,4.1935,1.5483001811211514
S3-M39,M-LA-A,2021-04-06 11:33:42.634,11.896,4.949807649700577
S3-M39,M-LA-A,2019-07-16 12:09:48.660,10.583,3.7806642814388853
S3-M39,M-LA-A,2020-02-11 12:57:00.015,10.389,4.626712068724053
S3-M39,M-LA-A,2020-07-09 11:15:33.373,15.024,6.403768632417977
S3-M39,M-LA-A,2020-10-14 08:55:06.414,11.502,5.105716304100748
S3-M39,M-LA-A,2020-04-28 17:23:45.724,12.637,4.436373132175942
S5-66-M2,M-LOA-H,2019-10-15 16:30:53.072,3.4999,1.1815145010245427
S5-66-M2,M-LOA-H,2020-10-15 09:38:22.028,3.0306,1.2883920032194167
S5-66-M2,M-LOA-H,2021-04-07 11:17:26.403,2.857,0.8908209266782579
S4-71-M2,V-LOA-H,2021-04-07 09:55:53.734,5.9504,1.5898587713784682
S4-71-M2,V-LOA-H,2020-10-13 15:57:12.872,3.8962,1.201912090140814
S4-71-M2,V-LOA-H,2020-02-11 13:20:25.590,2.3389,0.7724005478976739
S4-71-M2,V-LOA-H,2019-12-03 16:54:21.064,5.499,1.5247614278140726
S4-71-M2,V-LOA-H,2019-10-15 16:54:03.105,2.962,0.8897200664782807
S5-66-M2,V-LOA-V,2021-04-07 11:18:43.843,2.0497,0.8926453905307203
S5-66-M2,V-LOA-V,2019-10-15 16:32:47.392,2.1553,0.7081399620625303
S5-66-M2,V-LOA-V,2020-10-15 09:39:40.163,1.6065,0.5362785672204644
S2-M11,V-LOA-V,2019-07-16 10:00:48.215,5.0644,1.9021164932391734
