time,machine,point,max_mms,rms_mms,max_acc,med_acc,rms_acc,kur_acc,cf_acc,num_peaks,a_range,b_range,c_range,d_range,e_range,f_range,g_range,h_range,i_range,j_range,max_dem,rms_dem,Nombre,diagnostico,Id_Estado_Activo,Id_Estado_Activo_fixed,prev_diag,pct_change_acc,mean_mms_prev,element_type,labeled
2020-10-13 16:06:00.030,S4-74-M1,M-LA-V,26.38,12.928273546218158,0.88549,0.5555725630399097,0.3522276668483332,1.154428257258754,2.513970602943255,1.0,0.32054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39974,0.1912406129491622,S4-Ventilador 74 M1,Motor: Activo en buen estado.  Ventilador: El comportamiento se mantiene estable respecto a anteriores inspecciones. ,1.0,1,0,-0.3481854987118145,1.06435692598062,M,True
2020-10-13 16:06:11.111,S4-74-M1,M-LA-A,35.775,21.571937855697037,1.1196,0.7193061689893211,0.5813266991624262,1.3645375803678903,1.925939409996335,1.0,0.56923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27602,0.1159053373167207,S4-Ventilador 74 M1,Motor: Activo en buen estado.  Ventilador: El comportamiento se mantiene estable respecto a anteriores inspecciones. ,1.0,1,0,-0.1745797699793572,1.0583807642015393,M,True
2020-10-13 16:06:20.001,S4-74-M1,V-LA-H,11.023,4.483489868645662,1.4985,0.5904725652744561,0.4360635905901417,0.069673422834978,3.4364254029372687,3.0,0.08569,0.0,0.0,0.10922,0.08933,0.0,0.0,0.0,0.0,0.0,2.8367,1.3998431312016444,S4-Ventilador 74 M1,Motor: Activo en buen estado.  Ventilador: El comportamiento se mantiene estable respecto a anteriores inspecciones. ,1.0,1,0,-0.24702276267524248,1.2391803272389725,V,True
2020-10-13 16:06:28.982,S4-74-M1,V-LA-V,10.6,3.680599229713144,2.3533,0.6701400655978803,0.5656451613939595,0.1324506383594639,4.160382092194682,2.0,0.10176,0.0,0.0,0.19295,0.0,0.0,0.0,0.0,0.0,0.0,3.0427,1.4596157917425374,S4-Ventilador 74 M1,Motor: Activo en buen estado.  Ventilador: El comportamiento se mantiene estable respecto a anteriores inspecciones. ,1.0,1,0,0.46294914832773837,2.0476551179865834,V,True
2020-10-13 16:06:49.451,S4-74-M1,V-LOA-V,18.193,8.321618599551723,1.799,0.6525592982214816,0.5350646661280491,0.1029880920717634,3.3622104277942952,3.0,0.55805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3839,0.9945345736670286,S4-Ventilador 74 M1,Motor: Activo en buen estado.  Ventilador: El comportamiento se mantiene estable respecto a anteriores inspecciones. ,1.0,1,0,-0.04135138015560058,0.9161821274393509,V,True
2020-10-13 16:07:00.342,S4-74-M1,V-LOA-A,19.871,12.482464818815696,1.3099,0.5948766592715617,0.4267330151869971,0.5926086035439706,3.0696007887413947,1.0,0.32854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5052,0.7730219610695007,S4-Ventilador 74 M1,Motor: Activo en buen estado.  Ventilador: El comportamiento se mantiene estable respecto a anteriores inspecciones. ,1.0,1,0,-0.287943031093716,1.2050141457140189,V,True
2020-10-13 16:07:17.782,S4-74-M2,M-LOA-H,26.361,15.70582793569321,0.91997,0.6182496734260409,0.4295982110420358,1.3382645321873172,2.1414660870409947,1.0,0.41426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33677,0.1533094807624197,S4-Ventilador 74 M2,Motor: Activo en buen estado.  Ventilador: Se mantiene los niveles de vibración por encima de la normalidad.,1.0,1,0,-0.1475444773906598,0.9297597087108213,M,True
2020-10-13 16:07:26.962,S4-74-M2,M-LOA-V,11.534,4.662588972362384,0.68728,0.4008718525757327,0.2004362373820147,0.0944278748930274,3.4289208826550737,1.0,0.11104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37136,0.1682088689517838,S4-Ventilador 74 M2,Motor: Activo en buen estado.  Ventilador: Se mantiene los niveles de vibración por encima de la normalidad.,1.0,1,0,-0.8751353511863668,1.3126080923352001,M,True
2020-10-13 16:07:38.761,S4-74-M2,M-LA-H,14.432,6.782454215200563,0.96565,0.4944158213432609,0.3013545729686561,0.22280830665551,3.2043648466566896,1.0,0.17102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1185,0.3530594505513665,S4-Ventilador 74 M2,Motor: Activo en buen estado.  Ventilador: Se mantiene los niveles de vibración por encima de la normalidad.,1.0,1,0,0.10044329979145528,1.0803615259047088,M,True
2020-10-13 16:07:47.912,S4-74-M2,M-LA-V,10.976,4.944104722031884,0.7381,0.4035136374588031,0.2026300115163152,0.063000622357165,3.642599605441813,1.0,0.11743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69111,0.245620881466001,S4-Ventilador 74 M2,Motor: Activo en buen estado.  Ventilador: Se mantiene los niveles de vibración por encima de la normalidad.,1.0,1,0,0.39393023738928434,1.0955367527903206,M,True
2020-10-13 16:07:58.122,S4-74-M2,M-LA-A,27.061,17.157515771842252,1.0244,0.649581022006024,0.4819714663182443,1.239477519747826,2.125437026024258,1.0,0.45687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36588,0.1512302536430671,S4-Ventilador 74 M2,Motor: Activo en buen estado.  Ventilador: Se mantiene los niveles de vibración por encima de la normalidad.,1.0,1,0,-0.21017733230531999,1.5317227617415279,M,True
2020-10-13 16:08:10.312,S4-74-M2,V-LA-H,15.09,7.281463410947593,2.0379,0.6513939830039498,0.5341486278922514,0.0431655264397021,3.8152302441392503,4.0,0.26342,0.0,0.0,0.2886,0.0,0.0,0.0,0.0,0.0,0.0,2.0033,0.7999757823680959,S4-Ventilador 74 M2,Motor: Activo en buen estado.  Ventilador: Se mantiene los niveles de vibración por encima de la normalidad.,1.0,1,0,0.4313105773282766,1.1920780867386076,V,True
2020-10-13 16:08:20.881,S4-74-M2,V-LA-V,13.265,4.209208755332679,1.9737,0.6774515431097037,0.5719187749361682,0.130741546926691,3.4510145260055234,5.0,0.29112,0.10908,0.0,0.21902,0.0,0.0,0.0,0.0,0.0,0.0,1.8728,0.8522725597305285,S4-Ventilador 74 M2,Motor: Activo en buen estado.  Ventilador: Se mantiene los niveles de vibración por encima de la normalidad.,1.0,1,0,-0.1913716814159292,1.6607145352594885,V,True
2020-10-13 16:08:42.011,S4-74-M2,V-LOA-V,11.728,4.648216639655844,2.2247,0.7366674789953572,0.6725361222995243,0.2269004124316525,3.3079264090579144,6.0,0.4518,0.0,0.0,0.48679,0.0,0.0,0.0,0.0,0.0,0.0,1.9253,0.86949460231613,S4-Ventilador 74 M2,Motor: Activo en buen estado.  Ventilador: Se mantiene los niveles de vibración por encima de la normalidad.,1.0,1,0,0.3927006385376237,1.4766553772665383,V,True
2020-10-13 16:08:52.522,S4-74-M2,V-LOA-A,14.128,8.191583290581743,1.2685,0.5238583930479657,0.3400009314272879,0.1725281071603834,3.73087213224673,1.0,0.21621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97595,0.4267250924748813,S4-Ventilador 74 M2,Motor: Activo en buen estado.  Ventilador: Se mantiene los niveles de vibración por encima de la normalidad.,1.0,1,0,0.15276263177026528,1.6490694760501914,V,True
2020-10-13 16:11:03.013,S4-75-M2,M-LOA-H,12.642,6.313538144534976,0.49671,0.3964183565726168,0.1840535379845133,0.9731633219639848,2.698725628636349,1.0,0.16185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22934,0.0991970087071383,S4-Ventilador 75 M2,Motor: Activo en buen estado.  Ventilador: Activo en buen estado.,1.0,1,0,0.013569766967310048,0.9704832723387083,M,True
