,machine,point,prediction,score,filename
1893,S2-M20,V-LOA-A,class_b,82.22971558570862,20210406122303594_S2-M20_V-LOA-A.png
1894,S2-M20,V-LOA-V,class_b,61.66035532951355,20210406122252444_S2-M20_V-LOA-V.png
1895,S2-M20,M-LA-A,class_b,84.50719714164734,20210406122214333_S2-M20_M-LA-A.png
1896,S2-M36,V-LA-V,class_b,97.25234508514404,20210406124327304_S2-M36_V-LA-V.png
1897,S2-M20,M-LOA-V,class_b,77.43796110153198,20210406122144244_S2-M20_M-LOA-V.png
1898,S2-M20,V-LA-H,class_b,80.00754714012146,20210406122224064_S2-M20_V-LA-H.png
1899,S2-M36,M-LOA-V,class_b,68.72082352638245,20210406124238143_S2-M36_M-LOA-V.png
1900,S2-M36,V-LOA-A,class_b,96.57331109046936,20210406124401274_S2-M36_V-LOA-A.png
1901,S2-M20,M-LA-V,class_b,57.973140478134155,20210406122205173_S2-M20_M-LA-V.png
1902,S2-M20,V-LA-V,class_b,81.40178918838501,20210406122233164_S2-M20_V-LA-V.png
1903,S2-M36,M-LOA-H,class_b,96.04219794273376,20210406124229605_S2-M36_M-LOA-H.png
1904,S2-M36,V-LA-H,class_b,92.97842979431152,20210406124318933_S2-M36_V-LA-H.png
1905,S2-M36,M-LA-H,class_b,54.63374853134155,20210406124249753_S2-M36_M-LA-H.png
1906,S2-M36,M-LA-V,class_b,95.05578875541687,20210406124258894_S2-M36_M-LA-V.png
1907,S2-M36,M-LA-A,class_b,98.63955974578857,20210406124307743_S2-M36_M-LA-A.png
1908,S2-M36,V-LOA-V,class_a,51.560598611831665,20210406124348874_S2-M36_V-LOA-V.png
1909,S2-M36,V-LOA-H,class_a,53.513145446777344,20210406124338835_S2-M36_V-LOA-H.png
1910,S2-M18,V-LA-H,class_b,77.46507525444031,20210406122042712_S2-M18_V-LA-H.png
1911,S2-M18,M-LOA-H,class_a,86.89247369766235,20210406121940823_S2-M18_M-LOA-H.png
1912,S2-M18,V-LOA-V,class_b,55.949777364730835,20210406122112704_S2-M18_V-LOA-V.png
1913,S2-M18,M-LA-H,class_a,89.08366560935974,20210406122002354_S2-M18_M-LA-H.png
1914,S2-M18,M-LA-V,class_a,89.27909135818481,20210406122013103_S2-M18_M-LA-V.png
1915,S2-M18,V-LOA-A,class_a,65.62415957450867,20210406122122122_S2-M18_V-LOA-A.png
1916,S2-M18,V-LA-V,class_b,65.75592756271362,20210406122052334_S2-M18_V-LA-V.png
1917,S2-M18,M-LOA-V,class_a,86.90886497497559,20210406121951393_S2-M18_M-LOA-V.png
1918,S2-M12,M-LA-V,class_a,87.41176128387451,20210406121247513_S2-M12_M-LA-V.png
1919,S2-M18,V-LOA-H,class_b,53.6803662776947,20210406122103033_S2-M18_V-LOA-H.png
