,machine,point,prediction,score,filename
1667,S3-M35,M-LA-H,class_b,59.91784930229187,20210406112720154_S3-M35_M-LA-H.png
1668,S3-M35,M-LA-A,class_a,59.514570236206055,20210406112738225_S3-M35_M-LA-A.png
1669,S3-M35,M-LA-V,class_a,54.871541261672974,20210406112728974_S3-M35_M-LA-V.png
1670,S3-M11,V-LOA-A,class_a,69.69058513641357,20210406105553453_S3-M11_V-LOA-A.png
1671,S3-M11,V-LOA-H,class_b,99.22792911529541,20210406105515973_S3-M11_V-LOA-H.png
1672,S3-M11,M-LA-A,class_a,50.45437812805176,20210406105417954_S3-M11_M-LA-A.png
1673,S3-M11,M-LA-V,class_a,61.4547073841095,20210406105407822_S3-M11_M-LA-V.png
1674,S3-M11,M-LOA-H,class_a,60.37787199020386,20210406105336872_S3-M11_M-LOA-H.png
1675,S3-M11,M-LOA-V,class_b,65.82806706428528,20210406105346943_S3-M11_M-LOA-V.png
1676,S3-M11,V-LA-H,class_b,97.88249135017395,20210406105453794_S3-M11_V-LA-H.png
1677,S3-M11,V-LOA-V,class_b,96.41574025154114,20210406105528212_S3-M11_V-LOA-V.png
